F_CU_AGE,731640,888658,1004928,524338,487938,380241
F_CU_RACES,77764,71931,56450,26770,23039,17750
F_CU_MONEYSPENT,1226434.61,1198067.38,891980.29,412813.08,434447.68,352239.27
F_CU_LAST_VISIT_MONTHS_AGO,439793,485507,571211,294850,126276,36997
F_CU_FIRST_VISIT_MONTHS_AGO,1320311,1369906,1148025,468888,192446,45426
F_CU_CREATED_WEEKDAY,104391,133772,148025,82195,82282,65723
F_CU_DAYS_RACED,53454,47992,37467,17721,16096,12402
F_CU_CREATED_WEEK,225495,1376427,3188515,2549891,3737418,3294486
F_CU_DISTANCE,0,0,0,0,0,0
F_CU_FRIENDS_COUNT,42823,52663,35119,18092,17321,18235
