F_CU_RACES,622,21,36,84,132,194,215,260,373,533,2286,4479,5426,5848,6634,7327,8788,10504,11679,11699,12320,13615,13539,11731,12243,11574,11292,10757,8634,8699,7816,7857,6711,6347,6395,5624,4491,4786,4499,3212,2950,3350,2536,2723,2766,1698,1495,1274,946,772,723,686,473,327,433,265,145,153,126,123,127,110,72,76,36,37
F_CU_MONEYSPENT,17297.55,1115,2325,4426.55,8269.6,12391.5,15992,16812.4,18612.75,17927,47741.66,80388.34,87294.42,93892,97372.45,108020.71,128791.81,144351.81,161772.7,162047.85,166968.71,179226.31,176886.25,165595.64,169784.99,162851.97,152991.6,147854.08,127794.17,129163.67,122943.23,125435.97,115056.86,110754.6,110345.31,107038.83,105596.47,108807.99,102556.5,86291.36,85357.55,85838.29,75491.82,68567.5,58010.21,46517.95,39359.71,32365.86,20643.1,17335,18779.76,14155.93,10839.72,7264.1,7324.9,5330.2,2841.6,3487,2560.5,2585.4,2199,2446.6,1846,1797,950,1300
F_CU_LAST_VISIT_MONTHS_AGO,5347,354,674,1352,1601,2824,3097,3341,3762,3264,11531,25841,38192,44845,45261,48493,58142,65470,73837,76522,81856,84986,85638,82610,83115,76482,74013,75096,65880,64886,62612,59220,53354,49760,46683,44668,38604,37631,35338,28045,26505,24983,24511,20428,18316,15926,14801,12217,9084,7389,6756,4981,4354,3286,3547,2625,1426,1686,1399,1435,1304,739,838,852,602,417
F_CU_FIRST_VISIT_MONTHS_AGO,43159,1209,2421,4861,6519,12123,14362,16535,18320,17749,39943,74017,90659,99335,99227,111183,129905,145071,161569,167974,177975,184562,183867,172040,175777,163307,160874,157368,137064,140068,132940,131174,119296,112599,106938,105288,98192,95493,89310,77342,74421,68479,68830,57538,49845,45771,39764,32596,24866,18386,16768,13161,10328,7960,8062,5745,3924,4117,2882,3357,2750,1774,2180,1762,1364,757
F_CU_CREATED_YEAR,4179800,78526,163098,289907,396615,690497,837486,1059084,1294760,1284771,2972357,4582312,5544584,6184957,6372497,6956098,8412175,9108453,9941717,10058048,10442285,10959841,10520465,9886404,10004974,9338672,9109175,8984420,7768465,7850848,7413958,7313306,6592549,6177799,5934344,5779269,5336288,5169194,4833020,4209061,4047975,3689657,3596863,3027280,2624737,2393219,2085256,1757276,1330508,1024629,899770,722669,579751,448905,430760,338217,217409,227481,157004,207373,144928,108714,116744,92591,76499,48320
F_CU_CREATED_WEEKDAY,5259,179,391,643,959,1596,1972,2481,3030,3044,7108,10681,12882,14281,14495,15945,19285,20726,23535,23230,24379,25580,24435,23431,24007,22273,21834,21660,18727,18980,18242,17718,15851,14719,14206,13705,12477,12175,11425,9686,9311,8469,8138,6906,6144,5320,4749,3940,3094,2307,2054,1650,1282,994,942,754,487,508,340,466,334,243,247,201,162,114
F_CU_DAYS_RACED,402,17,31,55,77,136,151,191,272,396,1682,3307,4047,4475,4573,5311,6339,7320,8177,8247,8642,8996,9090,7984,8048,7533,7354,7154,5558,5542,5017,5071,4377,4156,3978,3621,3054,3197,2897,2200,2056,2068,1744,1823,1612,1235,1100,920,693,570,507,458,306,218,271,178,103,112,85,88,83,61,51,57,32,26
F_CU_CREATED_WEEK,351066,4876,10536,16291,22839,36402,45644,64844,87429,88663,209875,269324,321463,366275,391008,414480,520969,544910,580797,568152,573867,612082,558504,528064,527226,495654,476541,475581,406868,404587,379208,374007,332358,308049,301320,288466,261990,252221,235579,207089,198987,178586,165258,140655,122202,109991,96307,85173,63644,52252,43230,36092,29952,23338,20515,18699,10989,11473,7736,12190,6771,6335,5589,4285,3936,2943
F_CU_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_CU_FRIENDS_COUNT,766,14,78,209,223,411,361,533,559,825,2796,4522,5174,5264,4688,5172,6285,7910,6996,6444,7028,7520,6801,6388,7174,6508,6881,6690,5780,5409,5718,5340,4416,4024,3713,3883,3039,3047,3055,2339,2472,2374,2022,2060,1883,1515,1395,1155,824,845,612,593,523,343,440,278,158,139,111,132,90,100,87,49,48,22
