F_CU_AGE,23938,44589,60285,64990,69489,55594,61356,80457,60514,81192,62637,21053,1836,17876,54783,66183,35630,2036,3741,2611,8428,1645,2810,40540,76152,53949,52998,60484,78396,67800,78525,88315,67052,69620,84818,128141,94566,65732,75398,63874,105405,78948,83059,110948,60046,57925,69177,91774,69174,54557,53834,74507,72659,67810,106247,128852,86867,120693,118915,228523,47790
F_CU_RACES,1115,2048,2829,3117,2945,2692,3004,3674,3383,4311,2852,645,19,886,2484,2700,1952,20,113,57,382,15,24,1497,3244,2799,2865,2578,4518,4125,4666,4721,3646,3914,4808,6226,4673,3758,4556,3566,6104,4822,5656,7275,3916,3479,5349,6380,4947,4606,4830,6121,6686,7221,11121,12364,9090,13824,12795,23207,6484
F_CU_MONEYSPENT,21791.7,42438.85,53563.2,61920,61535.26,50550.94,60439.32,74079.81,64235.16,82128.16,56763.85,13205.96,423.2,15195,45589.19,49526.45,31152,542,1606.9,727,6413.2,144,523,27419.5,55589.3,43613.55,48430.3,46092.9,63008.92,57333.38,63518.03,70078.5,55678.61,58853,72836.05,103619.55,75937.86,58171.6,71535.1,63451.86,97907.55,74893.7,89016.91,112526.92,60842.72,56608.49,86732.4,117150.94,90524.25,80821.8,82141.07,107471.13,116537.59,113892.87,172817.2,205857.81,147898.02,216962.03,197511.16,366302.3,91903.29
F_CU_LAST_VISIT_MONTHS_AGO,0,1318,3447,5647,7699,7887,10999,15449,14099,20225,16759,3665,122,5176,17954,18926,12896,202,803,428,3249,123,104,17976,31542,31353,33258,30561,51597,43582,51077,50781,37219,40798,48735,67740,48923,35474,45967,35693,59169,50851,49861,58492,37236,35362,36040,45055,33357,27050,29523,38586,41090,39277,64439,77341,54214,74225,73482,130843,29688
F_CU_CREATED_YEAR,1699488,3259872,4167072,4771872,4804128,3915072,4479552,5617820,4342325,5758870,4572035,1509235,147095,2508675,3639090,4523675,2454270,139035,263965,201400,555864,120840,209456,2811544,5051112,3538598,4634214,3913202,4982636,4458996,5097434,5702829,4249443,4380288,5427048,7894986,5894064,4110546,4901655,4215222,6473808,4903668,5187501,6875004,3683972,3615564,4424388,5933388,4585348,3460640,3496856,4702044,4756368,4462616,6764344,8190803,5514162,7627723,7613646,14328375,2901873
F_CU_CREATED_WEEKDAY,3683,7731,9841,12184,11545,9314,11425,11764,10474,13809,11053,3561,323,3359,9642,11296,5922,385,694,393,1177,252,472,5988,10588,8262,9358,9333,12739,11597,12036,13378,10505,10255,12732,15939,12570,9922,11734,10499,15875,12254,12362,16802,8830,9359,10843,12086,9557,8319,8296,10895,12738,10578,15469,18234,13434,19547,18274,27966,6936
F_CU_DAYS_RACED,736,1399,1924,2124,2136,1906,2177,2758,2268,2942,2094,448,14,581,1665,1922,1309,16,79,44,262,13,17,1092,2206,1861,1901,1883,2869,2566,3007,3332,2473,2566,3224,4258,3168,2412,2895,2274,3981,3215,3669,4833,2448,2461,3393,4512,3427,3126,3133,4102,4419,4763,7375,8479,6279,9145,9304,16282,3965
F_CU_CREATED_WEEK,217822,412992,519210,584249,578425,463609,518179,639838,484700,630709,490839,159951,15192,252119,358777,435940,232744,12802,23807,17762,47539,10102,17061,221379,390157,265995,337418,276746,341621,296278,327833,355896,254789,253361,301875,422819,302851,202201,229951,189172,277451,199141,199008,251034,125762,115484,131786,164004,116924,80702,73666,88689,80146,65246,82984,85097,44137,45574,28037,22043,607
F_CU_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_CU_FRIENDS_COUNT,1563,2207,4180,2243,2662,2940,2440,3595,2607,2967,2280,394,4,697,1505,1775,1410,8,79,38,174,4,12,1232,2772,2095,2318,1582,2612,2629,2624,3387,2291,4291,2244,3622,2997,2358,2647,2215,3190,2047,3830,4829,1472,1517,4407,6847,5403,5309,4067,6662,3343,3778,5029,6320,4699,6395,6287,16560,2562
