F_CU_AGE,740606,2136283,692916,230408,92189,45209,26080,13691,9877,7905,4823,3340,2845,1962,1752,945,864,594,435,426,475,546,408,275,189,152,73,103,213,87,187,86,75,89,244,63,75,45,122,59,115,20,36,53,31,99,55,43,40,36,19,40,31,52,27,35,36,48,48,39,49,49,26
F_CU_RACES,0,100516,66348,34001,18189,11432,7938,5018,3946,3612,2387,1884,1797,1410,1295,668,746,556,335,460,512,800,479,446,406,207,131,181,342,183,295,248,226,160,399,115,110,166,347,131,347,110,81,164,87,548,481,97,71,90,370,149,125,196,212,100,153,190,258,194,268,639,352
F_CU_MONEYSPENT,389847.34,1875268.21,1069179.19,485100.47,238896.01,130196.34,77394.88,42861.9,32275.5,27339.68,20494.28,12016.9,11619.24,9104.5,6906.81,4374.66,4120.9,3727.05,2282.8,2335,3286.75,6577.65,3408.21,2669,2610,1925.95,553.78,1143.9,1891.5,1187.5,1077.2,1710,1252.9,595.03,2161.32,720,398,1671.7,3579,432,1826,798,924,870.9,661,5214.8,3524.8,526,226,571,2144,566,713,1033.35,1303.6,656.73,590,849,1236.1,1086.24,1511,4290.5,667.24
F_CU_LAST_VISIT_MONTHS_AGO,2791,1306897,412113,125181,48020,23184,13006,6534,4495,3743,2254,1446,1141,715,593,324,301,235,191,194,137,206,160,89,77,28,9,39,52,20,65,10,54,26,73,12,26,3,10,27,31,2,2,9,26,12,5,0,3,6,3,1,26,6,2,0,6,3,3,5,0,0,2
F_CU_FIRST_VISIT_MONTHS_AGO,728341,2077779,1018968,365016,147761,73804,42326,22438,16619,13368,7999,5646,5167,3627,3142,1415,1582,1049,645,706,811,877,689,494,291,227,131,197,364,152,322,138,155,168,371,115,96,50,167,115,201,53,54,114,59,174,114,37,24,58,60,24,59,117,57,59,58,59,59,60,57,57,60
F_CU_CREATED_YEAR,48523642,139107314,46287310,15706385,6269468,3094421,1780617,943628,663895,533117,315843,223300,203178,140818,124731,56326,60346,38215,26153,30180,32186,36213,26151,18102,12073,10061,6037,8047,14082,6036,12068,6037,6034,6034,14081,4022,4024,4028,6035,4022,8046,2012,2012,4022,2011,6033,4023,2013,2014,2011,2011,2014,2011,4022,2011,2011,2011,2011,2011,2011,2011,2011,2011
F_CU_CREATED_WEEKDAY,110259,328990,107286,35997,14434,7033,4064,2125,1530,1203,675,503,469,287,325,145,139,93,66,64,79,83,63,42,29,26,17,19,37,15,24,19,19,9,34,11,2,8,17,6,18,6,7,8,2,13,12,1,1,7,5,1,2,12,7,7,7,1,1,5,7,7,5
F_CU_CREATED_WEEK,3095271,8920013,1547109,441283,167265,78656,46013,24296,13478,10685,5998,4300,3764,2428,2442,1120,911,378,577,826,638,867,379,192,292,316,214,186,231,120,160,180,104,46,207,19,102,302,57,19,161,31,25,27,1,27,25,98,157,8,0,157,1,13,13,4,8,4,4,0,12,12,0
F_CU_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_CU_FRIENDS_COUNT,4606,90907,46621,18582,8064,4649,2630,1520,1047,924,585,502,435,303,277,134,119,94,67,83,124,166,69,93,54,27,17,51,74,67,66,44,42,21,61,35,6,39,37,45,115,20,39,52,16,67,61,1,25,24,22,25,16,61,51,11,24,49,49,16,89,89,44
