F_CU_AGE,27420,46223,57657,47008,68731,29274,37368,28123,25644,22559,23557,32403,23699,21905,33770,20181,25409,16108,15749,29738,24173,24409,32410,45558,28729,17703,16087,17208,14595,22071,13785,16443,15598,13047,16995,17081,23210,22129,12698,9176,23004,10812,10212,12813,13525,10952,12396,11953,11753,13230,17213,15879,15160,17695,21633,19158,22220,20773,20225,14093,14612,13473,14814,11974,21357,13309,9435,11627,14978,14426,16076,15912,19172,15811,29471,40544,25724,14575,13861,19377,18217,18761,17829,22731,20464,19567,16532,24835,34111,15159,15203,10935,20071,21500,12304,17488,14700,15469,16359,14127,13762,15892,22677,20667,21642,25420,22169,36571,26086,29348,24009,25469,19204,15624,16450,17180,16343,20080,13507,16655,15503,14706,13664,10952,21875,11164,19735,32234,25075,14516,15933,13948,21242,14420,18850,14038,20911,14629,17251,18342,17695,11657,13632,21377,11107,14004,8190,10635,10646,13671,10705,9256,19185,13339,17882,15992,16809,19378,25573,15679,1253,899,833,868,537,715,426,331,712,287,252,203,7200,303,410,397,602,564,384,1013,1550,423,379,287,1478,787,502,220,265,568,10235,10621,16946,21827,15421,12109,12828,18137,9909,10621,10550,9564,12996,1777,175,74,364,237,377,621,666,611,1282,3290,18384,19127,13506,10129,16932,15381,27076,15606,13791,20197,14432,14388,10820,11206,25162,14150,13507,25001,27593,12955,9609,9423,3634,8276,14704,13744,20053,12893,14963,15879,22919,14850,17986,12386,13951,13245,15685,11189,14617,15099,11359,8901,9435,11340,15615,9384
F_CU_RACES,4603,4530,5555,4329,7039,3635,4025,2888,2972,2254,2607,3403,3907,2375,3017,2233,2743,1738,1547,2457,2361,2628,3160,4363,2958,1881,2053,1738,1601,2753,1313,1440,1417,1135,1532,1536,2197,1740,980,743,1934,909,1125,1169,1176,969,1039,1008,1036,907,1245,1116,1167,1238,1429,1430,1641,1293,1743,1044,896,1061,1154,812,1273,807,497,776,1059,1080,789,958,1417,1115,1557,2913,1499,1014,948,1598,1117,1228,1163,1171,1244,1134,1124,1376,1918,728,742,676,1164,1120,788,1152,985,950,941,883,687,822,1235,1040,1091,1124,1079,1772,1372,1323,1151,1532,979,826,1066,1098,795,1232,701,772,953,910,698,567,1098,653,1006,1776,1422,825,906,865,1345,966,1113,764,1232,737,1029,1100,1165,531,552,766,525,855,399,613,528,670,542,503,1029,620,606,630,636,1136,980,638,0,6,16,0,0,2,20,0,2,0,11,2,370,0,10,4,2,14,4,35,48,4,2,3,56,6,10,0,4,18,565,591,864,900,720,463,467,787,408,450,611,455,631,92,0,0,2,0,10,5,7,2,12,115,641,776,593,522,831,822,1326,847,861,952,871,785,610,693,1067,703,707,1070,1326,627,486,469,170,418,713,657,946,575,714,648,900,730,800,689,664,536,783,556,649,686,522,439,454,492,747,408
F_CU_MONEYSPENT,59297.89,72535.25,86544.26,74419.35,108334.28,57074.56,63343.27,44767.4,45169.3,35492.48,40712.98,57768.11,47874.2,39495.7,55706.75,36882.4,43632.06,25159.56,26367,44025.56,39127.6,41905.3,50574.45,72287.7,47789.6,30233.7,28217.2,25780.9,24800.15,38440.86,24351,25033.86,25246.09,20521,26685,26598.5,38703.33,32661.2,17059.9,11965.2,31720.32,15760.6,17610.25,21795.4,18970,15420,18712.3,17094.3,18203.8,18258.65,21547.4,21586.5,20988.9,23612.2,28477.7,26710.3,28592.9,22826.14,27732.34,17918.96,13845,17524,18592,13457.99,20341.2,12361.8,8886.5,12992.36,15704.26,14717.1,13702,13818.77,18190.05,15767.5,23717.25,54759.89,26011.1,15637.07,15537.2,19518,18655.7,19401.4,16911,18122.6,20885.7,16987.8,16110.05,23175,31351.4,12812,12742.5,13048,21831.96,18911,10997.8,18356.8,14604.5,15577,12772,13337,10966.4,14415.45,19332.7,17858.7,16858.05,18189.16,18077.29,28197,21814.25,23928,20297.66,22392,15060,13098.9,14888.5,14963.1,12550,17525.9,12208,13369.15,13838.26,13712,10299.2,7521,17903.8,8659.4,15822,25678.3,19784.2,10678.76,12953.37,12251.7,18220,11910.92,14804.16,11396.3,18271.3,11872.9,14222.32,12550.4,17175,9240,10650.6,14458.3,8775,12823.7,7605.2,9307.1,9738.3,12525,9200,8180.6,14308.95,10706,11768.1,12009.5,11618.2,15031.5,18093,11915.5,0,110,146,0,101,137,251,0,84,0,38,22,6303.2,0,36,74,0,156,78,493,609.8,118,0,68,897.1,127,245,0,84,238,10123,8501,14698.2,16690.4,12510,7919.25,9006.1,14564.2,6919.99,8055.4,11219.1,8167,11300,1551,0,0,0,0,173.2,210,156,15,359,2232,13207.86,15655.25,11404.5,9094,17886.2,16419.4,26197.2,16071,14866.56,18709,15372.9,15658.8,11853.56,12436.9,23194.78,13145.01,12890.8,22627.22,26578.56,13346.32,9577.54,9120.9,3184,7290.82,13000.42,12510.92,18560.48,11255.36,13044.42,14712.78,20401,15317,16775.2,12965.5,11843.3,11229,14376.7,10932.6,11172,14496.1,9822,9035,9495.9,10635.75,13432.7,9127
F_CU_LAST_VISIT_MONTHS_AGO,16859,27671,32671,26694,40400,16236,23747,16951,15553,13939,13945,20414,14827,13736,20498,12556,15839,10817,9099,17328,14261,14843,19751,26967,18145,10930,9613,10547,8312,13942,8327,8091,8533,7739,9436,9298,13159,11556,7063,3966,11972,5804,5900,7025,7330,5617,5896,6074,5957,6276,8165,7445,7834,8377,10214,9898,12915,9034,7664,6458,7938,8146,9352,7934,13057,8170,4861,7128,10276,8777,9022,8036,8916,9484,16824,20750,14941,8402,8494,13251,11698,12245,11163,14380,11123,11411,10098,15352,17374,7899,8938,6055,11408,13234,7303,10916,8663,8716,9052,8249,6409,8960,12516,10260,11511,12432,11769,19941,14239,14778,12427,14740,10573,9299,9823,9983,9185,11843,8257,8599,8995,8714,7734,5716,12017,6273,12180,18618,16930,9073,9980,8144,14797,9765,11951,8907,13023,8913,11586,12462,11864,6253,6022,10734,5983,9251,4540,6566,6534,8696,6549,5607,10905,6791,7658,7281,6721,7503,12059,7369,0,18,125,0,0,44,16,0,42,0,60,21,3133,0,96,58,38,68,60,224,354,72,36,36,305,98,70,0,34,88,3547,4014,6117,6225,4803,3063,3546,6454,3165,3294,3640,2772,3738,486,0,0,24,0,40,36,55,11,132,605,3722,4532,3630,2943,4816,3665,6679,3899,3804,4739,3380,3300,2519,2627,4785,2727,2902,4505,4938,2299,1665,1789,605,1217,2162,1987,2638,1465,1523,1711,2674,1399,1528,1087,1245,870,969,690,751,766,349,292,284,308,28,0
F_CU_FIRST_VISIT_MONTHS_AGO,50160,82971,105256,86966,125434,56168,70528,50866,46806,41412,41326,59736,42180,40128,59103,36008,45136,28784,27328,50105,43230,42845,56210,76553,51084,30078,27540,29508,24910,40386,24274,26394,26000,22672,28496,28808,36995,36159,20451,14790,36294,17300,17350,20700,21800,17272,18620,18179,18816,20177,26976,24816,24528,27979,32148,29939,34921,30080,29908,21712,20516,19688,21144,17010,29835,18450,12780,16236,21340,18612,20328,21076,25886,20511,38571,53881,34650,18732,17598,25662,22613,23739,22509,28700,25081,23520,20200,30840,41409,18018,18174,15366,27789,26334,15504,20976,17822,17827,18833,16354,16058,18142,24660,23760,24120,27972,23835,39025,28665,31290,25403,27642,21046,17136,16806,16995,16731,20922,14652,16882,15424,15328,13568,10819,20925,11067,20336,32250,24870,14250,14760,12870,21020,13804,17893,12876,18951,12460,16156,15848,15288,10476,11853,18036,9828,11726,22438,9178,8632,11452,8525,7500,15675,10641,14136,12768,13152,15336,20126,12466,1127,759,678,660,440,550,395,231,546,210,231,161,4680,180,260,298,437,437,285,703,990,252,234,162,941,391,357,119,165,320,5328,5856,9494,11070,8010,6135,6345,8141,4606,4816,5292,4137,5863,8970,117,52,168,96,204,288,307,209,484,1342,7137,6680,4860,3790,6240,4959,8370,5076,4527,5942,4104,3968,3024,3335,6062,3353,3402,6020,5982,2862,2004,2100,790,1550,2535,2355,3424,1736,1972,2232,3196,1648,1827,1305,1407,1482,1096,834,942,934,441,334,352,384,38,0
F_CU_CREATED_YEAR,1681196,2807356,3587624,2964214,4275386,1914472,2445376,1763647,1622877,1435854,1451942,2107528,1488140,1415744,2095462,1293073,1620866,1033654,981368,1832021,1580646,1566569,2055242,2830309,1903352,1120684,1026120,1100564,945640,1533144,921496,1001976,1006000,877232,1102576,1114648,1446628,1426508,806812,583480,1438580,696152,698164,832968,877232,708224,764560,746452,772608,834980,1130744,1040204,1028132,1175008,1376208,1281644,1494916,1287680,1299752,949664,897352,861136,927532,760536,1333956,824920,571408,742428,975820,851076,929544,981856,1211224,959724,1804764,2531309,1660725,897798,843447,1229943,1107150,1165527,1105137,1409100,1256112,1183644,1016565,1552023,2093520,930006,938058,793122,1441308,1395009,821304,1111176,944097,960201,1024617,889746,873642,994422,1378905,1328580,1348710,1564101,1370853,2244495,1648647,1799622,1479555,1636569,1246047,1014552,998448,1036695,1020591,1276242,893772,1060851,970266,964227,853512,688446,1358775,718641,1320528,2095554,1669606,956650,990888,864006,1440010,958664,1242638,894216,1345352,896230,1162078,1139924,1105686,781432,884146,1345352,733096,908314,1738082,710942,668648,898244,686774,604200,1262778,864006,1186246,1071448,1103672,1286946,1752180,1091588,98686,66462,60420,60420,40280,50350,36252,22154,52364,20140,22154,16112,471276,18126,26182,30210,46322,46322,30210,74518,110825,28210,26195,18135,106795,46345,42315,14105,20150,40300,670995,737490,1209000,1487070,1076010,824135,852345,1166685,662935,693160,761670,608530,908765,1390350,18135,8060,28210,16120,34255,48360,54405,38285,88660,245830,1327885,1346020,979290,763685,1257360,1110265,1873950,1136460,1013545,1418560,1033695,999440,761670,852345,1744990,965185,979290,1732900,1993776,961632,673344,705600,270144,624960,1022112,949536,1403136,874944,993888,1124928,1610784,1078560,1227744,876960,945504,1128960,1104768,840672,949536,1010016,889056,673344,709632,774144,1114848,661248
F_CU_CREATED_WEEKDAY,3103,5317,7014,6322,9203,3943,5627,4223,3924,3725,3801,5278,3693,3803,4371,3424,4391,2655,2340,4192,3868,3978,3314,4699,5091,3103,2700,2848,2330,3504,2482,2172,2784,2308,2825,3012,3070,3549,2024,1458,2994,1789,1705,2088,2227,1702,1933,1733,1646,1973,2487,1886,2126,2645,2687,2582,3205,2589,3052,2110,2040,2152,2488,2044,3503,2258,1419,1843,2235,2001,2311,2643,3071,2361,3960,5796,3562,2415,2315,3229,2775,2871,2803,3573,3089,2801,2495,3238,5102,2414,2566,2087,3471,3481,1945,2944,2121,2379,2599,2040,1754,2255,3252,2769,2980,3302,2604,4541,3393,3369,3309,3415,3136,2493,2548,2507,2505,2990,2044,2606,2434,2365,1997,1701,3336,1725,2993,4861,3582,2419,2559,2136,3521,2447,3324,2400,3374,2427,2609,3104,2637,2079,1822,3413,1789,2374,2052,1760,1506,2272,1914,1265,2829,1870,2740,2158,2419,2585,3367,2667,187,134,119,146,96,113,98,46,119,52,27,48,936,53,63,86,84,101,57,147,289,79,78,37,277,120,128,43,46,121,1709,1870,2522,3853,2753,2212,2020,2822,1644,1832,2213,1436,2232,908,38,16,77,24,73,100,104,81,163,310,3230,3219,2435,1878,3243,2673,4031,2983,2441,2876,2596,2707,1905,2197,3443,2183,2248,3572,4598,2419,1966,1967,693,1327,2634,2463,3006,2312,2531,2403,3985,2682,3257,2132,2390,2606,2826,2026,2198,2284,2315,1599,1667,1794,2398,1437
F_CU_DAYS_RACED,2670,3178,3839,3168,4938,2454,2972,2051,2184,1606,1885,2341,2269,1598,2138,1486,1861,1205,1132,1788,1664,1773,2110,2800,2037,1290,1270,1202,963,1830,896,994,941,774,1020,1014,1373,1269,690,460,1282,637,669,781,710,651,685,729,709,610,896,752,799,846,945,1005,1143,987,1113,736,588,651,725,584,915,538,346,518,628,675,510,623,823,745,1090,2008,1169,658,623,818,735,811,734,823,844,750,638,903,1270,478,479,435,760,681,509,755,627,593,616,511,458,559,823,705,736,774,735,1174,941,944,810,1028,664,575,659,703,595,741,461,587,607,637,449,404,778,468,737,1192,975,545,565,528,859,594,694,477,823,477,673,671,632,388,402,612,374,570,285,390,363,442,330,329,696,424,453,469,410,702,732,456,0,3,8,0,0,2,13,0,2,0,10,1,255,0,6,3,2,12,4,24,38,4,2,3,32,6,8,0,2,12,377,379,620,666,502,326,308,569,271,293,396,281,418,59,0,0,2,0,7,3,5,1,12,71,460,568,424,370,633,579,921,582,554,694,539,520,433,447,839,491,505,824,982,463,336,333,114,310,492,464,672,414,414,485,740,509,568,438,454,374,523,382,461,438,371,306,306,320,503,270
F_CU_DISTANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_CU_FRIENDS_COUNT,1738,2098,4499,4061,4332,2394,1609,1453,1499,1441,1053,1811,1780,972,1520,947,1708,789,799,1235,1169,1249,1546,2502,1244,787,938,731,813,1265,725,923,655,525,775,775,1278,2329,1187,490,2386,834,711,812,1277,763,968,1774,1176,1089,1564,1285,1064,1151,1291,1254,1262,2380,1730,1273,434,808,782,303,699,249,222,334,368,353,240,537,434,400,930,3185,1568,360,388,806,647,507,381,630,508,661,409,975,1007,359,491,323,894,843,410,595,520,591,572,481,496,514,803,647,833,585,732,1381,676,590,576,663,461,349,473,1128,439,437,2236,513,575,472,343,553,539,602,668,1464,953,581,511,344,723,761,547,450,763,580,476,526,725,320,285,572,295,514,303,628,334,662,511,268,597,644,460,356,1096,729,805,506,0,0,4,0,0,2,10,0,0,0,4,0,168,0,6,0,6,8,18,6,30,4,6,2,37,4,2,0,2,44,244,744,445,542,397,220,523,440,222,411,314,423,389,29,0,0,2,0,2,0,1,9,12,82,352,551,633,411,623,550,972,590,639,644,491,726,465,559,935,940,859,757,1166,387,325,344,272,445,1002,691,818,691,551,523,852,400,715,664,332,351,2336,412,462,790,397,460,670,640,972,609
